lot,start_year,start_week,start_day,assyin_entity_code,original_entity_code,package_type,cust_assy_lot,start_date,flowtype,order_type,cust_code,package_code,product_no,original_start_qty,bom_no,bom_rev,last_oper,assy_pack_type,automotive_flag,wafer_size,die_used,size_type,cancel_flag,compound_stock
EMSPR0572.2,2024,5,7,140,140,QFN,175061,2/3/2024 19:00,G-A,P,EMS,NQ-500E500B032U,117.21A,17600,EMS0967P,A,2024-EMS-02-G158,TUBE,Y,8,1,117.7 X 120.5,,CZ0289
EMSPR0572.1,2024,5,7,140,140,QFN,175061,2/3/2024 19:00,G-A,P,EMS,NQ-500E500B032U,117.21A,17600,EMS0967P,A,2024-EMS-02-G152,TUBE,Y,8,1,117.7 X 120.5,,CZ0289
EMSPR0572.3,2024,5,7,140,140,QFN,175061,2/3/2024 19:00,G-A,P,EMS,NQ-500E500B032U,117.21A,17600,EMS0967P,A,2024-EMS-02-G142,TUBE,Y,8,1,117.7 X 120.5,,CZ0289
EMSPR0572.4,2024,5,7,140,140,QFN,175061,2/3/2024 19:00,G-A,P,EMS,NQ-500E500B032U,117.21A,12942,EMS0967P,A,2024-EMS-02-G152,TUBE,Y,8,1,117.7 X 120.5,,CZ0289
EMSPR0598.1,2024,5,7,140,140,QFN,173824,2/3/2024 19:00,G-A,P,EMS,NQ-500E500B032U,117.21A,17600,EMS0967P,A,2024-EMS-02-G152,TUBE,Y,8,1,117.7 X 120.5,,CZ0289
EMSPR0598.4,2024,5,7,140,140,QFN,173824,2/3/2024 19:00,G-A,P,EMS,NQ-500E500B032U,117.21A,14372,EMS0967P,A,2024-EMS-02-G152,TUBE,Y,8,1,117.7 X 120.5,,CZ0289
EMSPR0598.3,2024,5,7,140,140,QFN,173824,2/3/2024 19:00,G-A,P,EMS,NQ-500E500B032U,117.21A,17600,EMS0967P,A,2024-EMS-02-G152,TUBE,Y,8,1,117.7 X 120.5,,CZ0289
EMSPR0598.2,2024,5,7,140,140,QFN,173824,2/3/2024 19:00,G-A,P,EMS,NQ-500E500B032U,117.21A,17600,EMS0967P,A,2024-EMS-02-G176,TUBE,Y,8,1,117.7 X 120.5,,CZ0289
EMSPR0599.4,2024,6,1,140,140,QFN,173827,2/4/2024 19:00,G-A,P,EMS,NQ-500E500B032U,117.21A,9879,EMS0967P,A,2024-EMS-02-G158,TUBE,Y,8,1,117.7 X 120.5,,CZ0289
EMSPR0599.1,2024,6,1,140,140,QFN,173827,2/4/2024 19:00,G-A,P,EMS,NQ-500E500B032U,117.21A,17600,EMS0967P,A,2024-EMS-02-G152,TUBE,Y,8,1,117.7 X 120.5,,CZ0289
EMSPR0599.2,2024,6,1,140,140,QFN,173827,2/4/2024 19:00,G-A,P,EMS,NQ-500E500B032U,117.21A,17600,EMS0967P,A,2024-EMS-02-G158,TUBE,Y,8,1,117.7 X 120.5,,CZ0289
EMSPR0599.3,2024,6,1,140,140,QFN,173827,2/4/2024 19:00,G-A,P,EMS,NQ-500E500B032U,117.21A,17600,EMS0967P,A,2024-EMS-02-G167,TUBE,Y,8,1,117.7 X 120.5,,CZ0289
EMSPR0600.2,2024,6,2,140,140,QFN,173830,2/5/2024 19:00,G-A,P,EMS,NQ-500E500B032U,117.21A,17600,EMS0967P,A,2024-EMS-02-G167,TUBE,Y,8,1,117.7 X 120.5,,CZ0289
EMSPR0600.3,2024,6,2,140,140,QFN,173830,2/5/2024 19:00,G-A,P,EMS,NQ-500E500B032U,117.21A,17600,EMS0967P,A,2024-EMS-02-G152,TUBE,Y,8,1,117.7 X 120.5,,CZ0289
EMSPR0600.4,2024,6,2,140,140,QFN,173830,2/5/2024 19:00,G-A,P,EMS,NQ-500E500B032U,117.21A,13574,EMS0967P,A,2024-EMS-02-G168,TUBE,Y,8,1,117.7 X 120.5,,CZ0289
EMSPR0600.1,2024,6,2,140,140,QFN,173830,2/5/2024 19:00,G-A,P,EMS,NQ-500E500B032U,117.21A,17600,EMS0967P,A,2024-EMS-02-G167,TUBE,Y,8,1,117.7 X 120.5,,CZ0289
EMSPR0705.4,2024,7,3,140,140,QFN,175062,2/13/2024 19:00,G-A,P,EMS,NQ-500E500B032U,117.21A,17707,EMS0967P,A,2024-EMS-02-G271,TUBE,Y,8,1,117.7 X 120.5,,CZ0289
EMSPR0705.3,2024,7,3,140,140,QFN,175062,2/13/2024 19:00,G-A,P,EMS,NQ-500E500B032U,117.21A,17600,EMS0967P,A,2024-EMS-02-G271,TUBE,Y,8,1,117.7 X 120.5,,CZ0289
EMSPR0705.2,2024,7,3,140,140,QFN,175062,2/13/2024 19:00,G-A,P,EMS,NQ-500E500B032U,117.21A,17600,EMS0967P,A,2024-EMS-02-G271,TUBE,Y,8,1,117.7 X 120.5,,CZ0289
EMSPR0705.1,2024,7,3,140,140,QFN,175062,2/13/2024 19:00,G-A,P,EMS,NQ-500E500B032U,117.21A,17600,EMS0967P,A,2024-EMS-02-G271,TUBE,Y,8,1,117.7 X 120.5,,CZ0289
EMSPR0707.4,2024,7,3,140,140,QFN,175649,2/13/2024 19:00,G-A,P,EMS,NQ-500E500B032U,117.21A,14194,EMS0967P,A,2024-EMS-02-G239,TUBE,Y,8,1,117.7 X 120.5,,CZ0289
